Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
A_NUMACP,Number of Valid Augmented Care Period Groups,Number,Y,1997-98 to 2007-08,,"HES users are advised to use the field NUMACP instead of A_NUMACP. 

The number of valid Augmented Care Period (ACP) groups on the episode. A valid ACP group is defined as one that scores an ACPDQIND value of at least 'real', or has at least 3 other ACP fields that contain valid values. If 9 valid ACP groups are found, A_NUMACP is set to the highest value of ACPN. This is because, for each episode, the HES system holds data for the most recent 9 ACP groups only. 

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.",n = Number of augmented care periods within the episode,,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPDISP_n,Augmented Care Period Destination,String(2),Y,1997-98 to 2005-06,,"The destination of a discharged patient after a period of augmented care. Compare this field with DISDEST (destination on discharge from the hospital spell).

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","01 = Ward in same hospital 
02 = High dependency unit (HDU) in same hospital, including special care baby units
03 = Intensive care unit (ICU) in same hospital 
04 = ICU in other hospital 
05 = Other hospital (not ICU) including HDUs and Special Care Baby Units
06 = Normal residence or other 
07 = Died
08 = No change in location: the augmented care period ended because the consultant episode ended
98 = Not applicable: augmented care period not finished
99 = Not known",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPDQIND_n,Augmented Care Period Data Quality Indicator ,String(1),Y,2002-03 to 2007-08,,"The indicator of data quality for ACP. Not recommended for use.

The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","Values include: V, R, P, G though definitions of these values are not known.
",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPEND_n,Augmented Care Period End Date,Date(YYYY-MM-DD),Y,1997-98 to 2005-06,,"The end date of a period of augmented care (a null entry indicates that this data is not applicable).

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.",YYYY-MM-DD = Date augmented care period ended,,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPLCID_n,Augmented Care Period Local Identifier,Number,Y,1997-98 to 2005-06,Yes,"There are no nationally agreed values for this item.  This is a unique local identifier, used to identify continuous augmented care when that care is split into different periods due to a change other than the completion of that care, e.g. the consultant responsible for the overall consultant episode changes. This field is unavailable for use, and is null in all years.

This field will only be populated on records where a period of augmented care occurred. Note that the augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field. ",n = ACP local identifier,,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
ACPLOC_n,Augmented Care Location,String(2),Y,1997-98 to 2005-06,,"The location of a patient during a period of augmented care.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","01 = General intensive care unit (ICU). Adult intensive care, including wards labelled as surgical or medical ICU, but excluding the specialised units identified by other values. General ICUs may provide a mixture of high dependency unit (HDU) and ICU level care
02 = Cardiothoracic ICU, including units labelled as separate cardiac or thoracic units.
03 = Liver ICU
04 = Neurological ICU
05 = HDU
06 = Paediatric ICU: a unit generally admitting patients between 0 and 14 years old, but excluding special care baby units
07 = Paediatric HDU
08 = Neonatal ICU: a unit generally admitting only new born babies up to two-week's post delivery
09 = Cardiac care unit or coronary care unit (CCU)
10 = Combined HDU and CCU the beds and staff for the two units are in the same area
11 = Combined CCU and ICU the beds and staff for the two units are in the same area
12 = Combined HDU and ICU the beds and staff for the two units are in the same area
13 = Post operative recovery unit, including a theatre recovery area
14 = Spinal injury ICU: a unit designated for critical care rather than a spinal injury ward
15 = Burns critical care unit, including all special care burns facilities other than short-term post-operative care areas
16 = Renal unit, including an in-patient kidney dialysis unit, but excluding general nephrology or urology wards
17 = Not otherwise specified
99 = Not known",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPN_n,Augmented Care Period Number,Number,Y,1997-98 to 2007-08,,"A number representing the order of an episode within a sequence of episodes that make up a period of augmented care.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","2n = Order number in the range 01 to 97
99 = Not known: a validation error",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPOUT_n,Augmented Care Period Outcome Indicator,String(2),Y,1997-98 to 2005-06,,"An indicator of whether a patient survived. For deaths it indicates whether organs were donated. Organs are defined as whole organs such as heart, lung, liver, kidney and pancreas. The value 03 does not include parts of organs such as corneas, heart valves, etc.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","01 = Survived
02 = Died: no organ donation
03 = Died: organs donated
98 = Not applicable: Augmented care period not finished
99 = Not known",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPPLAN_n,Augmented Care Period Planned Indicator,String(1),Y,1997-98 to 2005-06,,"An indicator of whether any part of the augmented care period (APC) was planned in advance of admission to the ACP location.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","1 = Yes
2 = No
9 = Not known",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPSOUR_n,Augmented Care Period Source,String(2),Y,1997-98 to 2005-06,,"A code to indicate where the patient was immediately before the period of augmented care. Compare this field with ADMISORC (source of admission to hospital).

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","01 = Ward in same hospital
02 = High dependency unit (HDU) or other immediate care area in same hospital, including special care babies
03 = Intensive care unit (ICU) in same hospital
04 = Theatre or recovery unit in same hospital
05 = A&E department in same hospital
06 = X-ray or endoscopy department in same hospital
07 = ICU in other hospital
08 = Other hospital (not ICU) including HDUs and special care baby units
09 = Clinic, home or other
10 = No change in location: augmented care period started because consultant episode changed
99 = Not known",,,AHAS_FLAT.dbo.HES_APC_ACP,,
